iter	RMSE
0	309717.3464
1	280141.2595
2	253958.8534
3	231295.2364
4	210545.8306
5	190920.1619
6	173531.1857
7	158115.0881
8	144020.6026
9	131070.6268
10	119727.8994
11	109139.8575
12	99603.7522
13	91142.09759
14	83432.64453
15	76224.04229
16	70172.15894
17	64559.69774
18	59369.37538
19	54735.3454
20	50385.39303
21	46683.60262
22	43164.14451
23	40078.2044
24	37355.57243
25	34857.25761
26	32552.9961
27	30491.7876
28	28507.74211
29	26910.95518
30	25454.65256
31	24239.89827
32	23035.32212
33	21917.30133
34	21000.49642
35	20219.9805
36	19409.05341
37	18824.44833
38	18289.31148
39	17615.95026
40	17134.69264
41	16721.35994
42	16377.92286
43	16003.98498
44	15707.03047
45	15419.74837
46	15156.39341
47	14899.04608
48	14701.33494
49	14457.46806
50	14266.00695
51	14052.39517
52	13877.82586
53	13694.48506
54	13590.64394
55	13473.9589
56	13341.19693
57	13235.76829
58	13069.65402
59	12909.56787
60	12779.12775
61	12674.52793
62	12563.86718
63	12418.90222
64	12328.39628
65	12216.40786
66	12122.09519
67	12023.61497
68	11914.0223
69	11811.62609
70	11729.86304
71	11666.52719
72	11614.43567
73	11536.99076
74	11468.68438
75	11388.93793
76	11312.64294
77	11226.18551
78	11171.22964
79	11102.78865
80	11022.51383
81	10955.58119
82	10879.31929
83	10817.29228
84	10757.34919
85	10651.37432
86	10592.14907
87	10549.59876
88	10501.69623
89	10439.50148
90	10328.35983
91	10273.07276
92	10236.23768
93	10186.74048
94	10159.56723
95	10116.44831
96	10069.64621
97	10016.79202
98	9981.379519
99	9891.646272
100	9807.260375
101	9732.170479
102	9706.088199
103	9678.062125
104	9628.666906
105	9597.838698
106	9561.274173
107	9520.105075
108	9465.37053
109	9406.587417
110	9377.48827
111	9312.813145
112	9284.98527
113	9234.485277
114	9208.370456
115	9191.064436
116	9172.925162
117	9141.758666
118	9130.071965
119	9106.770732
120	9070.744964
121	9030.409059
122	8998.731616
123	8971.255583
124	8899.269147
125	8859.541884
126	8806.967552
127	8758.02775
128	8745.637786
129	8688.342405
130	8604.909479
131	8575.085315
132	8552.892186
133	8503.111694
134	8487.094247
135	8461.936488
136	8416.699163
137	8348.420587
138	8304.491807
139	8290.171588
140	8276.124454
141	8250.951509
142	8240.433423
143	8214.122321
144	8191.334978
145	8172.321841
146	8114.880951
147	8096.234709
148	8071.846843
149	8053.598657
150	8030.7727
151	7974.09991
152	7963.492692
153	7925.086996
154	7889.451239
155	7820.582286
156	7803.373929
157	7784.322826
158	7733.013368
159	7715.919416
160	7684.985197
161	7657.628989
162	7606.728171
163	7597.205578
164	7588.756027
165	7558.806931
166	7545.55358
167	7464.131683
168	7434.527349
169	7387.966149
170	7368.964083
171	7354.056749
172	7326.491113
173	7299.171519
174	7287.042342
175	7239.32569
176	7170.024582
177	7156.130639
178	7140.73697
179	7127.287044
180	7114.943179
181	7103.430729
182	7080.850208
183	7054.283533
184	7039.007623
185	6981.666952
186	6958.650672
187	6950.115105
188	6932.944374
189	6909.283215
190	6884.91441
191	6836.917419
192	6826.14936
193	6818.716932
194	6804.490808
195	6789.865731
196	6770.547782
197	6736.594053
198	6721.222145
199	6703.464252
